total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades,asset,fast_period,slow_period,apo_combination,period_ratio
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,32,5-32,6.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,32,5-32,6.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,32,5-32,6.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,33,5-33,6.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,33,5-33,6.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,33,5-33,6.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,34,5-34,6.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,34,5-34,6.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,34,5-34,6.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,35,5-35,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,35,5-35,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,35,5-35,7.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,36,5-36,7.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,36,5-36,7.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,36,5-36,7.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,37,5-37,7.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,37,5-37,7.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,37,5-37,7.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,38,5-38,7.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,38,5-38,7.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,38,5-38,7.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,39,5-39,7.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,39,5-39,7.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,39,5-39,7.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,40,5-40,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,40,5-40,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,40,5-40,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,41,5-41,8.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,41,5-41,8.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,41,5-41,8.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,42,5-42,8.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,42,5-42,8.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,42,5-42,8.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,43,5-43,8.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,43,5-43,8.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,43,5-43,8.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,44,5-44,8.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,44,5-44,8.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,44,5-44,8.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,45,5-45,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,45,5-45,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,45,5-45,9.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,46,5-46,9.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,46,5-46,9.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,46,5-46,9.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,47,5-47,9.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,47,5-47,9.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,47,5-47,9.4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,48,5-48,9.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,48,5-48,9.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,48,5-48,9.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,49,5-49,9.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,shib,5,49,5-49,9.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,pepe,5,49,5-49,9.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,doge,5,50,5-50,10.0
