asset,vidya_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ada,11,0.6123005607849836,0.995688807832264,1.3335554537488874,1.3694268806650327,0.9393784210322319,0.7356991623433768,0.504424778761062,1.3694268806650327,0.6940922826896747,1243
trx,11,0.5403071120952299,0.8296559005457756,1.330557978410256,1.3981439644460048,1.0772157635268942,0.6716377234519728,0.5117647058823529,1.3981439644460048,0.8720467637316146,1530
sui,11,1.2301012446485524,0.6615198987947498,0.9918150239608122,1.1842335126299193,0.6753977043906381,0.6088420009840874,0.4613466334164589,1.1842335126299193,0.6216146945095021,401
sol,11,0.9577423542686445,1.2618905285144821,1.612901010111417,1.3711418438870453,1.2777680040886867,0.741832159635467,0.5023741690408358,1.3711418438870453,0.7511661087607032,1053
bnb,11,0.5840821758109467,1.011893592407069,1.3588765487582741,1.3442455582246833,0.9178480145742542,0.7036991989112081,0.517632241813602,1.3442455582246833,0.6382972650728226,1588
btc,11,0.4696398513235769,1.1735531629132565,1.3304997990136516,1.3450021773849732,0.8331742542528503,0.5537617395738562,0.5289183222958057,1.3450021773849732,0.3931479535685183,2265
xrp,12,0.4233757614767122,0.8087929469106594,1.062912826977177,1.3291537752045233,0.767079397505166,0.7553649552867207,0.4792332268370607,1.3291537752045233,0.7164069580614908,1252
eth,12,0.2756113302683514,0.7380467111004868,0.8118482920044086,1.2086356176665372,0.5854445891877614,0.6208045839208765,0.49409312022237667,1.2086356176665372,0.49244401354693196,1439
algo,12,-0.40320130257623343,0.22918521276735243,0.26264220393315396,1.0667678179567621,0.16486514330787244,0.9132313597638281,0.48038176033934255,1.0667678179567621,0.6569360090152994,943
vet,12,0.2500253952100029,0.6602617582249924,0.7642964843630509,1.1972300067481465,0.5771882338817643,0.7108194115183519,0.499113475177305,1.1972300067481465,0.6213847699526249,1128
atom,12,-0.366716798025265,0.2310030285155082,0.2608874082422506,1.0629665570529698,0.17486987259731718,0.8277642955955827,0.47388059701492535,1.0629665570529698,0.6266196501475296,1072
pol,12,-0.3687548095257721,-0.11917165534237506,-0.11363445802558325,0.967308175055483,-0.09109766530059933,0.6061038759100376,0.48249027237354086,0.967308175055483,0.463320307722665,257
tao,12,0.726883457225026,1.1181943907099083,1.4217621584026143,1.3238606757095905,1.443092872974281,0.5464583484656623,0.4954545454545455,1.3238606757095905,0.7052352923604285,440
ltc,12,0.2781807169345756,0.6864028341161152,0.8054195092619696,1.2315444670989308,0.5660738694149798,0.765768727307648,0.4822389666307858,1.2315444670989308,0.6315266269292457,1858
xlm,12,0.4136404410402259,0.8088258425289038,1.001613247591043,1.3235537220208768,0.7983248850614872,0.7062439154163396,0.5,1.3235537220208768,0.6970747755008532,1138
avax,12,0.7531709266668256,1.0958450308458396,1.3451270705562783,1.3742223389631243,1.126402501645144,0.7351482916241413,0.5241038318912238,1.3742223389631243,0.7556477891097702,809
link,12,0.4760428997757391,0.8860771488295883,1.1610887890363022,1.2535399449858453,0.9207981379940345,0.6862126502045752,0.49796472184531887,1.2535399449858453,0.7131019363392312,1474
ada,12,0.565033375968343,0.9526752423653371,1.2736843355122778,1.3512675020636815,0.8835230309194424,0.748654667671747,0.5008090614886731,1.3512675020636815,0.6943117776956693,1236
trx,12,0.5475221096149896,0.8349426565903784,1.3414096988566246,1.4016362755995673,1.0552249032418657,0.6899948299933596,0.5117340286831812,1.4016362755995673,0.8720356086374146,1534
sui,12,1.3143191112791217,0.6791695617606079,1.0104656603606925,1.1904087284209675,0.8024354421008728,0.5261726455162667,0.46365914786967416,1.1904087284209675,0.62167035037865,399
sol,12,0.9656606759667881,1.2665553058872134,1.6095368353732,1.372804208890185,1.2368373599655014,0.770488504572101,0.5042654028436019,1.372804208890185,0.7524100711979381,1055
bnb,12,0.5588257761059321,0.9867681957448156,1.32248721624072,1.3333574689728251,0.8544375311505151,0.7371019322590471,0.5191462649089768,1.3333574689728251,0.638252791204234,1593
btc,12,0.4554140618643363,1.1570754444015559,1.2902633736635607,1.335540419483927,0.8103290308884432,0.5558107511506172,0.5299295774647887,1.335540419483927,0.38924824609876724,2272
xrp,13,0.3576543326129671,0.7489784460033243,0.9417756984058396,1.2989492323319907,0.6429708089272814,0.812253082523118,0.48048780487804876,1.2989492323319907,0.6972897875905618,1230
eth,13,0.32933806215082106,0.8251519852645408,0.9091291867956227,1.2358808314398122,0.8203010476474798,0.4904636554661619,0.4996481351161154,1.2358808314398122,0.4875802974441373,1421
algo,13,-0.5960965461392216,0.16418423968772772,0.18835840775508547,1.0474319774264307,0.11692253047949454,0.9225519765599921,0.4776595744680851,1.0474319774264307,0.6569882213019521,940
vet,13,0.3617991572971502,0.7975761426770744,0.9327728646491541,1.2433409493285312,0.7022830750859932,0.7061472134213002,0.504014272970562,1.2433409493285312,0.621777921842509,1121
atom,13,-0.07588476676269873,0.2888118173613639,0.3351243053129247,1.0792608429572255,0.22061350972710947,0.8111573735516113,0.4760112888052681,1.0792608429572255,0.6196154878812951,1063
pol,13,-0.4634197115941986,-0.2516026739890568,-0.23929760336422015,0.9313456329301458,-0.18152140032827035,0.6356791911870429,0.4738955823293173,0.9313456329301458,0.4586174507383537,249
tao,13,0.7596829244385674,1.1440705652002554,1.4478424211437906,1.3324837803159302,1.4796021997535331,0.5464583484656621,0.5022727272727273,1.3324837803159302,0.706722993368815,440
ltc,13,0.2935536753501027,0.7051303406933842,0.8301291782709468,1.2371243713565316,0.5870164804232179,0.7606716367366613,0.4828510182207931,1.2371243713565316,0.6332542527043085,1866
xlm,13,0.32145476996563294,0.7136959232098288,0.8682902795142087,1.2812993994361337,0.714733101118671,0.6849208934876311,0.4982363315696649,1.2812993994361337,0.6859162541124122,1134
