asset,vzo_length,total_return,sharpe_ratio,sortino_ratio,omega_ratio,calmar_ratio,max_drawdown,win_rate,profit_factor,volatility,num_trades
ltc,117,0.4041612031597721,0.8496473582330504,0.955244175145087,1.317716192481517,0.806990788971863,0.6265439242745727,0.49262536873156343,1.317716192481517,0.5950882691230344,1695
xlm,117,0.4111898857906944,0.8485705673202956,1.0640507564545685,1.3572155761325553,0.7547461871295763,0.6580761029395185,0.516003879728419,1.3572155761325553,0.5853142315590337,1031
avax,117,0.28471889562418173,0.7215604700249071,0.6732606945374666,1.240334240105746,0.6253771144819503,0.665245680595568,0.5206106870229008,1.240334240105746,0.5765690353548287,655
link,117,0.5414506233427085,1.0249033137847274,1.290893054571797,1.3148874690905215,1.0571686769968023,0.5644549848956988,0.5028340080971659,1.3148874690905215,0.582224802652724,1235
ada,117,0.4166009981203147,0.9161954057496495,0.9303209790655622,1.3121919899449423,0.7546804005417475,0.6438564371366565,0.5161290322580645,1.3121919899449423,0.5303517468220619,1085
trx,117,2.9320293888372806,0.4607572377172936,0.5010123868216408,1.172477924216968,0.40677216590748927,0.6176388917098916,0.5109204368174727,1.172477924216968,0.5452726276731563,1282
sui,117,1.6856859437977967,0.785918086947512,0.9819529769084397,1.2888921382012637,0.9629590146232617,0.40648253509955584,0.49230769230769234,1.2888921382012637,0.498049387031317,260
sol,117,0.7114105600800007,1.1639558953716573,1.2595461026031918,1.4057390571754411,1.139488472169751,0.6399281552356849,0.5092936802973977,1.4057390571754411,0.6264762769856356,807
bnb,117,0.3952036868840543,0.9109547904056806,1.0369820788689048,1.3293668300700618,0.8065470893272458,0.5489742474659854,0.5230288836846214,1.3293668300700618,0.4860543970707074,1281
btc,117,0.47895956090115166,1.2773094616146843,1.3531158816597193,1.4188221353484083,1.0114755714831984,0.4485109427063051,0.5402770651616213,1.4188221353484083,0.3551667592885798,1949
xrp,118,0.3545340050428343,0.8100215148192894,0.8435480961422753,1.3232384426922283,0.7542010905873291,0.5958521719080919,0.49334600760456276,1.3232384426922283,0.5547906440264962,1052
eth,118,0.3055737068475508,0.8194836013863019,0.840738833979117,1.2560167276710357,0.7447610904550785,0.4894255685118293,0.5055118110236221,1.2560167276710357,0.44479855299708454,1270
algo,118,0.17542495403868807,0.5535997805833562,0.6105962582337019,1.1896492857134833,0.4072660878516118,0.8148864436394971,0.5079950799507995,1.1896492857134833,0.5994865344683784,813
vet,118,0.5582404892783801,1.0498457044618579,1.191102687334842,1.3752817938026158,1.0460935013207122,0.5739921657246603,0.509698275862069,1.3752817938026158,0.5719406878759901,928
atom,118,2.3091696485168463,0.49575424980672833,0.5236101561233175,1.1548320587688208,0.41086116896600666,0.6843694976248683,0.48558758314855877,1.1548320587688208,0.5671778949115445,902
pol,118,-0.12139841808281238,0.0640609571858146,0.051439726582678744,1.0232884269264484,0.05193402482559054,0.4581317440723854,0.4876543209876543,1.0232884269264484,0.3714060235009242,162
tao,118,2.3815114233792913,0.824439681223727,0.88553608015304,1.2721738715245101,0.7745788578652303,0.6266468140721813,0.48466257668711654,1.2721738715245101,0.5887481941777092,326
ltc,118,0.40119246281951537,0.8460695657677245,0.9518142277440326,1.3161001784958348,0.7922706011716448,0.6355346697098637,0.49173553719008267,1.3161001784958348,0.5951229723995165,1694
xlm,118,0.4072819789760176,0.8439461917543406,1.0567036608026525,1.3558187510133581,0.7502884689171526,0.6580761029395186,0.5155642023346303,1.3558187510133581,0.5850454881241763,1028
avax,118,0.29190080346224967,0.7281838449904999,0.6824614347729321,1.2427838193253378,0.6514054936959037,0.6560448352145754,0.5234493192133132,1.2427838193253378,0.5868726870412424,661
link,118,0.5636915461934742,1.048922548374115,1.3224231979565757,1.323514455659949,1.0832467608268155,0.564454984895699,0.5032414910858996,1.323514455659949,0.5829258175149209,1234
ada,118,0.41476239608582754,0.9136675733059575,0.9279244544805246,1.3116507887053899,0.7527032825430178,0.6438564371366565,0.5147874306839186,1.3116507887053899,0.5304258002345956,1082
trx,118,0.1322378229297616,0.4712731377358232,0.5125729831852788,1.1771966935742604,0.41555751806732394,0.6176388917098914,0.5105551211884285,1.1771966935742604,0.544619381732491,1279
sui,118,1.6442795001394095,0.7791402980722774,0.9679353909218917,1.2883574616090194,0.9486057501820985,0.40648253509955584,0.49224806201550386,1.2883574616090194,0.494893758027987,258
sol,118,0.7293718143225103,1.1813623450421151,1.2797159577452217,1.4135039944570413,1.1810025050049442,0.6257932875670758,0.5105590062111801,1.4135039944570413,0.6256026724854249,805
bnb,118,0.39671297024182284,0.9130867295466056,1.0377587270354585,1.330309035827241,0.7756832614882797,0.5722901945524534,0.5238467552775606,1.330309035827241,0.4861706016126598,1279
btc,118,0.4735485871590519,1.2684422277283711,1.341512648874972,1.415313467173226,1.0028716073475086,0.44851094270630537,0.5398048279404212,1.415313467173226,0.3546073129639929,1947
xrp,119,0.35289991354900274,0.8078536928760908,0.8412523748218208,1.3223587472867466,0.7521485276908094,0.5958521719080919,0.49334600760456276,1.3223587472867466,0.5547654702505432,1052
eth,119,0.2865318084771866,0.7848517487823271,0.795979639192979,1.2442085490545811,0.7171528728295742,0.4894255685118293,0.5051140833988985,1.2442085490545811,0.4472092379727261,1271
algo,119,0.173560037764513,0.5508714134205495,0.6089975718755491,1.1888190764520943,0.39770047321488394,0.829684074948248,0.5067817509247842,1.1888190764520943,0.5989886953416244,811
vet,119,0.5541170899925518,1.0452833395877388,1.1860400495489154,1.3737429082189034,1.0456085386170741,0.571667042435344,0.5102702702702703,1.3737429082189034,0.5718448942772918,925
atom,119,2.4888719927531264,0.5053032432085801,0.5295961477415336,1.159034220479723,0.4244330754226728,0.6732577405931812,0.4871508379888268,1.159034220479723,0.5655076574961351,895
pol,119,-0.12139841808281238,0.0640609571858146,0.051439726582678744,1.0232884269264484,0.05193402482559054,0.4581317440723854,0.4876543209876543,1.0232884269264484,0.3714060235009242,162
tao,119,1.7269504850378903,0.7316074926011541,0.7776647955495024,1.2390191014198373,0.6473507083616775,0.6584685329271197,0.47987616099071206,1.2390191014198373,0.582634917677951,323
ltc,119,0.3898776424930379,0.8326673059480343,0.9352882616811354,1.3109839732505442,0.7789929497342458,0.6355346697098633,0.49141503848431023,1.3109839732505442,0.594567630407916,1689
xlm,119,0.42152457516217057,0.861499566432727,1.0781934680249532,1.3659176509728226,0.7649354346479655,0.6580761029395185,0.5161290322580645,1.3659176509728226,0.584313387315893,1023
avax,119,0.29571162588621647,0.7334735688586367,0.6843935613420052,1.245273208027363,0.6471278783547745,0.6641956683280139,0.5250379362670713,1.245273208027363,0.5860054839145523,659
link,119,0.5628585095176488,1.047195259490035,1.323319064774445,1.3230375032137887,1.083130347808798,0.5644549848956988,0.5028340080971659,1.3230375032137887,0.5838245719429804,1235
ada,119,0.4097319321690469,0.9070202951776511,0.9207232757443593,1.30945838749894,0.747068979986151,0.6438564371366564,0.5138888888888888,1.30945838749894,0.5303135710485821,1080
trx,119,0.12859279564638415,0.46533563298116704,0.5058405616756647,1.1749493955552357,0.4102516148038421,0.6176388917098915,0.5101880877742947,1.1749493955552357,0.5445260038787818,1276
sui,119,1.7233740927387853,0.7958669968722747,0.9840143448943709,1.296601774202531,0.9680889488849899,0.40648253509955573,0.4921875,1.296601774202531,0.49444348325928617,256
sol,119,0.7250123070701708,1.1780750106443802,1.273633127133216,1.4135937154903369,1.1760982314091957,0.625793287567076,0.5099750623441397,1.4135937154903369,0.6247432227026122,802
bnb,119,0.408507120214328,0.9301880413689192,1.057289644349767,1.3370094727274124,0.8875872612557942,0.5097478695592401,0.5253312548713952,1.3370094727274124,0.48640242117842775,1283
btc,119,0.47236757494548476,1.266361118616585,1.341050522863701,1.4142694439021413,1.0010234884839715,0.4485109427063057,0.5389344262295082,1.4142694439021413,0.35453551273081607,1952
xrp,120,0.3543894778400034,0.8098466174528031,0.8425513101250595,1.323401256370668,0.7539865570984227,0.595852171908092,0.4942857142857143,1.323401256370668,0.5547526135870814,1050
