time,total_market_cap,symbols_count,total_index
2016-05-06,9459872321.146345,2,9459872321.146345
2016-05-07,9448637465.416342,2,9448637465.416342
2016-05-08,9447705441.261442,2,9447705441.261442
2016-05-09,9495351305.40423,2,9495351305.40423
2016-05-10,9285951566.435976,2,9285951566.435976
2016-05-11,9327342485.244394,2,9327342485.244394
2016-05-12,9366044838.438328,2,9366044838.438328
2016-05-13,9389346372.81681,2,9389346372.81681
2016-05-14,9395825687.576767,2,9395825687.576767
2016-05-15,9437718877.238077,2,9437718877.238077
2016-05-16,9365471796.796204,2,9365471796.796204
2016-05-17,9356101892.111086,2,9356101892.111086
2016-05-18,9374314074.919954,2,9374314074.919954
2016-05-19,9044092687.778519,2,9044092687.778519
2016-05-20,9126743794.047401,2,9126743794.047401
2016-05-21,9142577637.579456,2,9142577637.579456
2016-05-22,9063588104.637259,2,9063588104.637259
2016-05-23,9162914195.416101,2,9162914195.416101
2016-05-24,9198052590.027052,2,9198052590.027052
2016-05-25,9277429588.723873,2,9277429588.723873
2016-05-26,9355743214.551151,2,9355743214.551151
2016-05-27,9788312404.723373,2,9788312404.723373
2016-05-28,10932056262.776403,2,10932056262.776403
2016-05-29,10849153530.387972,2,10849153530.387972
2016-05-30,11006051880.81201,2,11006051880.81201
2016-05-31,10955057160.72874,2,10955057160.72874
2016-06-01,11072372134.888868,2,11072372134.888868
2016-06-02,11091371436.188255,2,11091371436.188255
2016-06-03,11725304045.814512,2,11725304045.814512
2016-06-04,11791726196.931126,2,11791726196.931126
2016-06-05,11836978390.938736,2,11836978390.938736
2016-06-06,12058801835.394592,2,12058801835.394592
2016-06-07,11866068597.271492,2,11866068597.271492
2016-06-08,11965029513.498615,2,11965029513.498615
2016-06-09,11820893065.032343,2,11820893065.032343
2016-06-10,11888777092.232296,2,11888777092.232296
2016-06-11,12485662149.10003,2,12485662149.10003
2016-06-12,13827718563.493074,2,13827718563.493074
2016-06-13,14454558625.020243,2,14454558625.020243
2016-06-14,14072624026.727169,2,14072624026.727169
2016-06-15,14253082549.061785,2,14253082549.061785
2016-06-16,15718227367.91113,2,15718227367.91113
2016-06-17,15366012979.142557,2,15366012979.142557
2016-06-18,15509432311.982334,2,15509432311.982334
2016-06-19,15662696601.548395,2,15662696601.548395
2016-06-20,15110124845.398922,2,15110124845.398922
2016-06-21,13666250169.87399,2,13666250169.87399
2016-06-22,12189607346.401266,2,12189607346.401266
2016-06-23,12740731453.57151,2,12740731453.57151
2016-06-24,13597749347.237696,2,13597749347.237696
2016-06-25,13590716861.600748,2,13590716861.600748
2016-06-26,12865364564.29993,2,12865364564.29993
2016-06-27,13385622915.080385,2,13385622915.080385
2016-06-28,13219116489.126757,2,13219116489.126757
2016-06-29,13074310929.421087,2,13074310929.421087
2016-06-30,13751530053.192577,2,13751530053.192577
2016-07-01,13815331746.073578,2,13815331746.073578
